analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_Ghana_l	education_Ghana_m	education_Ghana_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
TNFRSF4	-0.00107209478963022	0.00502484475387416	0.0111217842973785	-0.0111608517504623	-0.00163456647595442	0.00789171879855351	-0.0805796233084756	-0.0426924459507784	-0.0048052685930811	-0.193098916872707	-0.0523192241036274	0.0884604686654521	-0.0981924196418884	-0.0399656133099005	0.0182611930220874	0.0184924259029007	0.186518386033149	0.354544346163398	-0.0232874777680489	-0.00969232443182017	0.00390282890440857
CCL17	-0.00429407379192134	0.00465989333601433	0.01361386046395	-0.00570614879936311	0.00828415643339211	0.0222744616661473	-0.0854267020274208	-0.0297855827067424	0.025855536613936	-0.173800323104888	0.0329487732803933	0.239697869665675	-0.067096452605963	0.0184154515454811	0.103927355696925	-0.381026843370205	-0.134263871077171	0.112499101215863	-0.00542221968202448	0.0145436263302634	0.0345094723425512
ANGPT2	0.00239965657176348	0.00873684820604209	0.0150740398403207	-0.0109459675129293	-0.00104429554839741	0.00885737641613447	-0.0259455696296205	0.0134345655487621	0.0528147007271448	-0.294711224897023	-0.148384057811529	-0.00205689072603457	0.0158109025578487	0.0763321570897159	0.136853411621583	-0.162400178788956	0.0122469046011829	0.186893987991322	-0.016516537055925	-0.00238566182346968	0.0117452134089857
LAMP3	0.00365772464242	0.0109808519458347	0.0183039792492495	-0.029133192215682	-0.0176910253225904	-0.00624885842949885	-0.116226261518543	-0.0707193935271975	-0.0252125255358518	-0.301121765693686	-0.13202912429101	0.0370635171116669	0.114169113762116	0.184106221092417	0.254043328422718	-0.230097312552219	-0.0282787628466971	0.173539786858825	-0.0191846318574217	-0.00285528532540372	0.0134740612066143
CASP8	-0.0116749420287544	0.00145674685897642	0.0145884357467073	-0.0366636760092072	-0.0161458057584047	0.00437206449239775	-0.132619313814833	-0.0510172867083616	0.0305847403981097	-0.25205432546675	0.051159297362009	0.354372920190768	-0.108760273967186	0.016649581292481	0.142059436552148	-0.298831659962234	0.0630654226229854	0.424962505208205	-0.056399822354842	-0.0271183570034998	0.00216310834784249
ICOSLG	-0.019112915443512	-0.00731515834258507	0.00448259875834183	-0.0356662866963327	-0.0172326448763938	0.00120099694354501	-0.0933512873958002	-0.0200384863557994	0.0532743146842014	-0.239379833083944	0.0330330075193724	0.305445848122689	0.0129467346578068	0.125617315195114	0.238287895732422	-0.0663561289144982	0.258779039332111	0.583914207578721	-0.0298816515776038	-0.00357463054414725	0.0227323904893093
MMP12	0.0108567707331036	0.0192795285952103	0.027702286457317	-0.0242335589575019	-0.0110732522790443	0.00208705439941337	-0.163961405936793	-0.111621290263093	-0.0592811745893922	-0.211312481285787	-0.0168291252290545	0.177654230827678	-0.0233461726043974	0.0570925929957334	0.137531358595864	-0.079915859472202	0.152207481529739	0.38433082253168	-0.0195661178674214	-0.000784779487370809	0.0179965588926798
CXCL13	0.010870551081907	0.0179968595538945	0.0251231680258819	0.00140172120852401	0.0125363645773633	0.0236710079462026	-0.0764011964545946	-0.032117386346702	0.0121664237611905	-0.350593329054149	-0.186045278330418	-0.0214972276066869	-0.0175868096431608	0.0504706444778158	0.118528098598792	-0.178661364536155	0.0177330419764893	0.214127448489134	-0.0174514325175646	-0.0015609589928347	0.0143295145318952
VEGFA	0.00184369952739416	0.00883753815475514	0.0158313767821161	-0.0145649378771577	-0.00363727466962341	0.00729038853791087	-0.0840321030738844	-0.040571477854426	0.00288914736503239	-0.283031608118853	-0.121542315628595	0.0399469768616631	0.0171138465704426	0.083906191215943	0.150698535861443	-0.126636215975447	0.0661074453275981	0.258851106630643	-0.0173415776595663	-0.00174648968643524	0.0138485982866958
CCL20	-0.019370388368459	-0.00418527917932905	0.0109998300098009	-0.0407776252777086	-0.0170513473594175	0.00667493055887355	-0.229901634537234	-0.135539385914069	-0.0411771372909041	-0.47531503010361	-0.124687474908614	0.225940080286383	-0.0342404107609597	0.110779956519467	0.255800323799893	-0.650576943492553	-0.232089515008116	0.18639791347632	-0.0299691115201425	0.0038911369505088	0.0377513854211601
